,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
481951,1.9636314,1.9942961,1.6476301
485757,2.194538,2.0362992,1.7363472
486759,2.1578355,2.1616983,1.7391388
495255,2.2136502,2.2193885,1.834783
497865,2.0500336,1.9568269,1.603224
499566,1.8160181,1.8594373,1.587425
500222,2.0594673,1.9150206,1.5855566
506234,2.0032573,2.0163202,1.6311438
510326,2.027864,2.0135818,1.6998538
512835,2.267727,2.1721961,1.7629557
513736,1.7649696,1.939377,1.5870091
517239,2.0086942,1.8868196,1.6565621
519950,1.9838288,1.9842858,1.6075872
520228,2.1010885,2.0238152,1.7174807
523032,1.9613289,2.0623066,1.6582413
524135,1.8734705,1.9515889,1.6230743
529549,2.0111432,2.0220034,1.6443228
529953,2.033807,2.0745497,1.653928
530635,2.2694476,2.1302853,1.6959858
531536,2.010801,2.0643213,1.6797628
536647,2.1705315,2.1148872,1.7267952
540436,2.0852785,2.0011005,1.5814412
541943,2.2705412,2.1001163,1.6671326
545345,2.355958,2.2921755,1.8550773
547046,1.9250088,1.9748183,1.6192596
548250,2.364643,2.0941982,1.6684148
553344,1.8666124,1.8737143,1.5951049
555348,2.152163,1.9678403,1.7057662
555651,1.8889602,1.9669973,1.6259593
557857,1.9959689,1.9625149,1.6618851
559053,2.0372276,2.0137823,1.6002693
561242,2.0504208,2.059201,1.6306632
561444,1.9458569,1.9953301,1.6699994
562345,2.0503895,1.9777873,1.5609777
562446,2.0389397,2.063002,1.6770098
565452,2.0727983,1.8976662,1.5630223
566454,2.0214462,1.90608,1.6034716
567052,1.9947292,2.0385327,1.6557099
567961,1.7588773,1.8117417,1.4395907
568963,1.9114009,1.9346783,1.5775266
570243,1.8541862,1.8605288,1.5049119
571144,1.9925728,2.0308666,1.639298
572045,1.8865832,1.918366,1.5920882
573249,1.8890162,2.1023235,1.6717975
573451,1.9841337,1.8444109,1.5818553
576255,2.33087,2.066543,1.7748301
579665,2.1870184,2.196918,1.7107214
579867,1.9571214,2.193249,1.6482205
580044,1.862356,1.916524,1.5954915
580650,1.9862127,2.16464,1.7018301
580751,2.1541228,2.1269557,1.6182065
581349,1.9006708,1.8541043,1.585639
581450,1.8346838,1.9346955,1.6091173
583858,2.136721,2.2628682,1.6856828
585256,2.0544405,1.9667017,1.7496159
585862,2.1567402,2.1765008,1.6211032
586460,1.9299585,1.8652279,1.496057
587664,1.8349339,2.052366,1.6929705
588565,2.0762243,2.039735,1.6711893
592455,2.4809957,2.286049,1.8429177
594156,1.9057966,1.844722,1.4908756
597869,2.3775842,2.1904035,1.7769432
598568,2.070073,2.1548104,1.7711374
599065,1.74151,1.6584549,1.3902141
599469,1.7976888,1.8875277,1.5481899
601127,1.9881532,2.0367737,1.7327017
604537,1.8352127,1.744833,1.4814162
609143,2.1613126,2.058103,1.679373
611938,2.1650934,2.1872933,1.8272221
613538,1.9822178,1.9911178,1.5964879
614439,2.129517,1.9941094,1.6683917
616645,2.058387,2.0436,1.6823928
618952,2.0564203,2.0162864,1.6132779
620434,1.9449675,1.9196932,1.586663
622236,2.0679338,1.9019325,1.5611814
623844,2.0363183,1.8582253,1.5769753
626648,1.9229242,1.9563129,1.6414046
627549,2.061131,1.982219,1.6261196
627852,2.0763228,2.156611,1.7416801
645450,1.9329319,2.0372434,1.652724
